EVENT_LOG | OS-Level Chat Server | 2026-04-22 22:11:32
----------------------------------------------------------------
LINE  TIMESTAMP_MS   EVENT              TID    ROOM   SEM    MSGS   DETAIL
----------------------------------------------------------------
1             0.664  THREAD_CREATE      tid=0   room=-  sem=50   msgs=0    Alice
2             0.712  THREAD_CREATE      tid=1   room=-  sem=50   msgs=0    Bob
3             0.812  THREAD_CREATE      tid=2   room=-  sem=50   msgs=0    Charlie
4             0.866  THREAD_CREATE      tid=3   room=-  sem=50   msgs=0    Diana
5             0.926  THREAD_CREATE      tid=4   room=-  sem=50   msgs=0    Eve
6             0.978  THREAD_CREATE      tid=5   room=-  sem=50   msgs=0    Frank
7             1.021  THREAD_CREATE      tid=6   room=-  sem=50   msgs=0    Grace
8             1.067  THREAD_CREATE      tid=7   room=-  sem=50   msgs=0    Hank
9             1.375  SEM_BLOCK          tid=0   room=-  sem=50   msgs=0    about to wait
10            1.378  SEM_WAIT           tid=0   room=-  sem=49   msgs=0    ADMITTED
11            1.378  ACQUIRED_LOCK      tid=0   room=A  sem=-1   msgs=0    Alice
12            1.407  RELEASED_LOCK      tid=0   room=A  sem=-1   msgs=0    Alice
13            1.407  MSG_BROADCAST      tid=0   room=A  sem=49   msgs=1    Alice
14            1.407  SEM_POST           tid=0   room=-  sem=50   msgs=1    Alice
15          201.616  SEM_BLOCK          tid=1   room=-  sem=50   msgs=0    about to wait
16          201.618  SEM_WAIT           tid=1   room=-  sem=49   msgs=0    ADMITTED
17          201.619  ACQUIRED_LOCK      tid=1   room=B  sem=-1   msgs=0    Bob
18          201.621  RELEASED_LOCK      tid=1   room=B  sem=-1   msgs=0    Bob
19          201.621  MSG_BROADCAST      tid=1   room=B  sem=49   msgs=1    Bob
20          201.621  SEM_POST           tid=1   room=-  sem=50   msgs=1    Bob
21          401.706  SEM_BLOCK          tid=2   room=-  sem=50   msgs=0    about to wait
22          401.711  SEM_WAIT           tid=2   room=-  sem=49   msgs=0    ADMITTED
23          401.711  ACQUIRED_LOCK      tid=2   room=C  sem=-1   msgs=0    Charlie
24          401.716  RELEASED_LOCK      tid=2   room=C  sem=-1   msgs=0    Charlie
25          401.717  MSG_BROADCAST      tid=2   room=C  sem=49   msgs=1    Charlie
26          401.717  SEM_POST           tid=2   room=-  sem=50   msgs=1    Charlie
27          601.897  SEM_BLOCK          tid=3   room=-  sem=50   msgs=0    about to wait
28          601.900  SEM_WAIT           tid=3   room=-  sem=49   msgs=0    ADMITTED
29          601.900  ACQUIRED_LOCK      tid=3   room=A  sem=-1   msgs=0    Diana
30          601.906  RELEASED_LOCK      tid=3   room=A  sem=-1   msgs=0    Diana
31          601.906  MSG_BROADCAST      tid=3   room=A  sem=49   msgs=1    Diana
32          601.906  SEM_POST           tid=3   room=-  sem=50   msgs=1    Diana
33          802.022  SEM_BLOCK          tid=4   room=-  sem=50   msgs=0    about to wait
34          802.031  SEM_WAIT           tid=4   room=-  sem=49   msgs=0    ADMITTED
35          802.032  ACQUIRED_LOCK      tid=4   room=B  sem=-1   msgs=0    Eve
36          802.040  RELEASED_LOCK      tid=4   room=B  sem=-1   msgs=0    Eve
37          802.041  MSG_BROADCAST      tid=4   room=B  sem=49   msgs=1    Eve
38          802.041  SEM_POST           tid=4   room=-  sem=50   msgs=1    Eve
39         1002.269  SEM_BLOCK          tid=5   room=-  sem=50   msgs=0    about to wait
40         1002.274  SEM_WAIT           tid=5   room=-  sem=49   msgs=0    ADMITTED
41         1002.275  ACQUIRED_LOCK      tid=5   room=C  sem=-1   msgs=0    Frank
42         1002.277  RELEASED_LOCK      tid=5   room=C  sem=-1   msgs=0    Frank
43         1002.277  MSG_BROADCAST      tid=5   room=C  sem=49   msgs=1    Frank
44         1002.277  SEM_POST           tid=5   room=-  sem=50   msgs=1    Frank
45         1202.383  SEM_BLOCK          tid=6   room=-  sem=50   msgs=0    about to wait
46         1202.384  SEM_WAIT           tid=6   room=-  sem=49   msgs=0    ADMITTED
47         1202.384  ACQUIRED_LOCK      tid=6   room=A  sem=-1   msgs=0    Grace
48         1202.386  RELEASED_LOCK      tid=6   room=A  sem=-1   msgs=0    Grace
49         1202.387  MSG_BROADCAST      tid=6   room=A  sem=49   msgs=1    Grace
50         1202.387  SEM_POST           tid=6   room=-  sem=50   msgs=1    Grace
51         1402.541  SEM_BLOCK          tid=7   room=-  sem=50   msgs=0    about to wait
52         1402.545  SEM_WAIT           tid=7   room=-  sem=49   msgs=0    ADMITTED
53         1402.545  ACQUIRED_LOCK      tid=7   room=B  sem=-1   msgs=0    Hank
54         1402.551  RELEASED_LOCK      tid=7   room=B  sem=-1   msgs=0    Hank
55         1402.551  MSG_BROADCAST      tid=7   room=B  sem=49   msgs=1    Hank
56         1402.552  SEM_POST           tid=7   room=-  sem=50   msgs=1    Hank
57         1602.692  SEM_BLOCK          tid=0   room=-  sem=50   msgs=0    about to wait
58         1602.695  SEM_WAIT           tid=0   room=-  sem=49   msgs=0    ADMITTED
59         1602.698  PRIVATE_MSG        tid=4   room=-  sem=-1   msgs=0    T4->T7 Iris
60         1602.717  PRIVATE_MSG        tid=0   room=P  sem=49   msgs=2    Iris
61         1602.717  SEM_POST           tid=0   room=-  sem=50   msgs=2    Iris
