EVENT_LOG | OS-Level Chat Server | 2026-04-15 21:08:52
----------------------------------------------------------------
LINE  TIMESTAMP_MS   EVENT              TID    ROOM   SEM    MSGS   DETAIL
----------------------------------------------------------------
1             1.699  THREAD_CREATE      tid=0   room=-  sem=50   msgs=0    Alice
2             1.790  THREAD_CREATE      tid=1   room=-  sem=50   msgs=0    Bob
3             1.899  THREAD_CREATE      tid=2   room=-  sem=50   msgs=0    Charlie
4             1.946  THREAD_CREATE      tid=3   room=-  sem=50   msgs=0    Diana
5             1.986  THREAD_CREATE      tid=4   room=-  sem=50   msgs=0    Eve
6             2.048  THREAD_CREATE      tid=5   room=-  sem=50   msgs=0    Frank
7             2.092  THREAD_CREATE      tid=6   room=-  sem=50   msgs=0    Grace
8             2.126  THREAD_CREATE      tid=7   room=-  sem=50   msgs=0    Hank
9             2.241  SEM_WAIT           tid=0   room=-  sem=49   msgs=0    ADMITTED
10            2.243  ACQUIRED_LOCK      tid=0   room=A  sem=-1   msgs=0    Alice
11            2.243  RELEASED_LOCK      tid=0   room=A  sem=-1   msgs=0    Alice
12            2.243  MSG_BROADCAST      tid=0   room=A  sem=49   msgs=1    Alice
13            2.244  SEM_POST           tid=0   room=-  sem=50   msgs=1    Alice
14          204.946  SEM_WAIT           tid=1   room=-  sem=49   msgs=0    ADMITTED
15          204.950  ACQUIRED_LOCK      tid=1   room=B  sem=-1   msgs=0    Bob
16          204.951  RELEASED_LOCK      tid=1   room=B  sem=-1   msgs=0    Bob
17          204.951  MSG_BROADCAST      tid=1   room=B  sem=49   msgs=1    Bob
18          204.951  SEM_POST           tid=1   room=-  sem=50   msgs=1    Bob
19          406.371  SEM_WAIT           tid=5   room=-  sem=49   msgs=0    ADMITTED
20          406.373  ACQUIRED_LOCK      tid=5   room=C  sem=-1   msgs=0    Charlie
21          406.374  RELEASED_LOCK      tid=5   room=C  sem=-1   msgs=0    Charlie
22          406.374  MSG_BROADCAST      tid=5   room=C  sem=49   msgs=1    Charlie
23          406.375  SEM_POST           tid=5   room=-  sem=50   msgs=1    Charlie
24          608.551  SEM_WAIT           tid=4   room=-  sem=49   msgs=0    ADMITTED
25          608.554  ACQUIRED_LOCK      tid=4   room=A  sem=-1   msgs=0    Diana
26          608.588  RELEASED_LOCK      tid=4   room=A  sem=-1   msgs=0    Diana
27          608.588  MSG_BROADCAST      tid=4   room=A  sem=49   msgs=1    Diana
28          608.589  SEM_POST           tid=4   room=-  sem=50   msgs=1    Diana
29          808.671  SEM_WAIT           tid=3   room=-  sem=49   msgs=0    ADMITTED
30          808.674  ACQUIRED_LOCK      tid=3   room=B  sem=-1   msgs=0    Eve
31          808.675  RELEASED_LOCK      tid=3   room=B  sem=-1   msgs=0    Eve
32          808.675  MSG_BROADCAST      tid=3   room=B  sem=49   msgs=1    Eve
33          808.675  SEM_POST           tid=3   room=-  sem=50   msgs=1    Eve
34         1012.418  SEM_WAIT           tid=7   room=-  sem=49   msgs=0    ADMITTED
35         1012.421  ACQUIRED_LOCK      tid=7   room=C  sem=-1   msgs=0    Frank
36         1012.422  RELEASED_LOCK      tid=7   room=C  sem=-1   msgs=0    Frank
37         1012.422  MSG_BROADCAST      tid=7   room=C  sem=49   msgs=1    Frank
38         1012.422  SEM_POST           tid=7   room=-  sem=50   msgs=1    Frank
39         1212.442  SEM_WAIT           tid=0   room=-  sem=49   msgs=0    ADMITTED
40         1212.446  ACQUIRED_LOCK      tid=0   room=A  sem=-1   msgs=0    Grace
41         1212.446  RELEASED_LOCK      tid=0   room=A  sem=-1   msgs=0    Grace
42         1212.446  MSG_BROADCAST      tid=0   room=A  sem=49   msgs=2    Grace
43         1212.446  SEM_POST           tid=0   room=-  sem=50   msgs=2    Grace
44         1414.017  SEM_WAIT           tid=2   room=-  sem=49   msgs=0    ADMITTED
45         1414.020  ACQUIRED_LOCK      tid=2   room=B  sem=-1   msgs=0    Hank
46         1414.020  RELEASED_LOCK      tid=2   room=B  sem=-1   msgs=0    Hank
47         1414.021  MSG_BROADCAST      tid=2   room=B  sem=49   msgs=1    Hank
48         1414.021  SEM_POST           tid=2   room=-  sem=50   msgs=1    Hank
49         1615.609  SEM_WAIT           tid=6   room=-  sem=49   msgs=0    ADMITTED
50         1615.615  PRIVATE_MSG        tid=6   room=-  sem=-1   msgs=0    T6->T1 Iris
