EVENT_LOG | OS-Level Chat Server | 2026-04-16 01:54:41
----------------------------------------------------------------
LINE  TIMESTAMP_MS   EVENT              TID    ROOM   SEM    MSGS   DETAIL
----------------------------------------------------------------
1             0.873  THREAD_CREATE      tid=0   room=-  sem=50   msgs=0    Alice
2             1.155  THREAD_CREATE      tid=1   room=-  sem=50   msgs=0    Bob
3             1.196  THREAD_CREATE      tid=2   room=-  sem=50   msgs=0    Charlie
4             1.226  THREAD_CREATE      tid=3   room=-  sem=50   msgs=0    Diana
5             1.254  THREAD_CREATE      tid=4   room=-  sem=50   msgs=0    Eve
6             1.353  THREAD_CREATE      tid=5   room=-  sem=50   msgs=0    Frank
7             1.786  THREAD_CREATE      tid=6   room=-  sem=50   msgs=0    Grace
8             1.854  THREAD_CREATE      tid=7   room=-  sem=50   msgs=0    Hank
9             3.151  SEM_BLOCK          tid=3   room=-  sem=50   msgs=0    about to wait
10            3.152  SEM_WAIT           tid=3   room=-  sem=49   msgs=0    ADMITTED
11            3.153  ACQUIRED_LOCK      tid=3   room=A  sem=-1   msgs=0    Alice
12            3.153  RELEASED_LOCK      tid=3   room=A  sem=-1   msgs=0    Alice
13            3.153  MSG_BROADCAST      tid=3   room=A  sem=49   msgs=1    Alice
14            3.153  SEM_POST           tid=3   room=-  sem=50   msgs=1    Alice
15          208.635  SEM_BLOCK          tid=2   room=-  sem=50   msgs=0    about to wait
16          208.636  SEM_WAIT           tid=2   room=-  sem=49   msgs=0    ADMITTED
17          208.637  ACQUIRED_LOCK      tid=2   room=B  sem=-1   msgs=0    Bob
18          208.711  RELEASED_LOCK      tid=2   room=B  sem=-1   msgs=0    Bob
19          208.712  MSG_BROADCAST      tid=2   room=B  sem=49   msgs=1    Bob
20          208.712  SEM_POST           tid=2   room=-  sem=50   msgs=1    Bob
21          412.043  SEM_BLOCK          tid=7   room=-  sem=50   msgs=0    about to wait
22          412.045  SEM_WAIT           tid=7   room=-  sem=49   msgs=0    ADMITTED
23          412.046  ACQUIRED_LOCK      tid=7   room=C  sem=-1   msgs=0    Charlie
24          412.071  RELEASED_LOCK      tid=7   room=C  sem=-1   msgs=0    Charlie
25          412.072  MSG_BROADCAST      tid=7   room=C  sem=49   msgs=1    Charlie
26          412.072  SEM_POST           tid=7   room=-  sem=50   msgs=1    Charlie
27          614.329  SEM_BLOCK          tid=4   room=-  sem=50   msgs=0    about to wait
28          614.331  SEM_WAIT           tid=4   room=-  sem=49   msgs=0    ADMITTED
29          614.332  ACQUIRED_LOCK      tid=4   room=A  sem=-1   msgs=0    Diana
30          614.335  RELEASED_LOCK      tid=4   room=A  sem=-1   msgs=0    Diana
31          614.335  MSG_BROADCAST      tid=4   room=A  sem=49   msgs=1    Diana
32          614.335  SEM_POST           tid=4   room=-  sem=50   msgs=1    Diana
33          826.781  SEM_BLOCK          tid=6   room=-  sem=50   msgs=0    about to wait
34          826.783  SEM_WAIT           tid=6   room=-  sem=49   msgs=0    ADMITTED
35          826.784  ACQUIRED_LOCK      tid=6   room=B  sem=-1   msgs=0    Eve
36          826.789  RELEASED_LOCK      tid=6   room=B  sem=-1   msgs=0    Eve
37          826.789  MSG_BROADCAST      tid=6   room=B  sem=49   msgs=1    Eve
38          826.789  SEM_POST           tid=6   room=-  sem=50   msgs=1    Eve
39         1030.317  SEM_BLOCK          tid=5   room=-  sem=50   msgs=0    about to wait
40         1030.319  SEM_WAIT           tid=5   room=-  sem=49   msgs=0    ADMITTED
41         1030.320  ACQUIRED_LOCK      tid=5   room=C  sem=-1   msgs=0    Frank
42         1030.390  RELEASED_LOCK      tid=5   room=C  sem=-1   msgs=0    Frank
43         1030.391  MSG_BROADCAST      tid=5   room=C  sem=49   msgs=1    Frank
44         1030.391  SEM_POST           tid=5   room=-  sem=50   msgs=1    Frank
45         1231.629  SEM_BLOCK          tid=0   room=-  sem=50   msgs=0    about to wait
46         1231.631  SEM_WAIT           tid=0   room=-  sem=49   msgs=0    ADMITTED
47         1231.633  ACQUIRED_LOCK      tid=0   room=A  sem=-1   msgs=0    Grace
48         1231.757  RELEASED_LOCK      tid=0   room=A  sem=-1   msgs=0    Grace
49         1231.757  MSG_BROADCAST      tid=0   room=A  sem=49   msgs=1    Grace
50         1231.758  SEM_POST           tid=0   room=-  sem=50   msgs=1    Grace
51         1438.205  SEM_BLOCK          tid=1   room=-  sem=50   msgs=0    about to wait
52         1438.207  SEM_WAIT           tid=1   room=-  sem=49   msgs=0    ADMITTED
53         1438.207  ACQUIRED_LOCK      tid=1   room=B  sem=-1   msgs=0    Hank
54         1438.263  RELEASED_LOCK      tid=1   room=B  sem=-1   msgs=0    Hank
55         1438.264  MSG_BROADCAST      tid=1   room=B  sem=49   msgs=1    Hank
56         1438.264  SEM_POST           tid=1   room=-  sem=50   msgs=1    Hank
57         1639.843  SEM_BLOCK          tid=3   room=-  sem=50   msgs=0    about to wait
58         1639.844  SEM_WAIT           tid=3   room=-  sem=49   msgs=0    ADMITTED
59         1639.846  PRIVATE_MSG        tid=4   room=-  sem=-1   msgs=0    T4->T1 Iris
60         1639.866  PRIVATE_MSG        tid=3   room=P  sem=49   msgs=2    Iris
61         1639.866  SEM_POST           tid=3   room=-  sem=50   msgs=2    Iris
62         1843.870  SEM_BLOCK          tid=2   room=-  sem=50   msgs=0    about to wait
63         1843.872  SEM_WAIT           tid=2   room=-  sem=49   msgs=0    ADMITTED
64         1843.873  ACQUIRED_LOCK      tid=2   room=A  sem=-1   msgs=0    Jack
65         1843.934  RELEASED_LOCK      tid=2   room=A  sem=-1   msgs=0    Jack
