EVENT_LOG | OS-Level Chat Server | 2026-04-24 02:38:11
----------------------------------------------------------------
LINE  TIMESTAMP_MS   EVENT              TID    ROOM   SEM    MSGS   DETAIL
----------------------------------------------------------------
1             1.273  THREAD_CREATE      tid=0   room=-  sem=50   msgs=0    Alice
2             1.350  THREAD_CREATE      tid=1   room=-  sem=50   msgs=0    Bob
3             1.737  THREAD_CREATE      tid=2   room=-  sem=50   msgs=0    Charlie
4             1.939  THREAD_CREATE      tid=3   room=-  sem=50   msgs=0    Diana
5             2.325  THREAD_CREATE      tid=4   room=-  sem=50   msgs=0    Eve
6             2.388  THREAD_CREATE      tid=5   room=-  sem=50   msgs=0    Frank
7             2.428  THREAD_CREATE      tid=6   room=-  sem=50   msgs=0    Grace
8             2.479  THREAD_CREATE      tid=7   room=-  sem=50   msgs=0    Hank
9             6.344  SEM_BLOCK          tid=0   room=-  sem=50   msgs=0    about to wait
10            6.346  SEM_WAIT           tid=0   room=-  sem=49   msgs=0    ADMITTED
11            6.347  ACQUIRED_LOCK      tid=0   room=A  sem=-1   msgs=0    Alice
12            6.348  RELEASED_LOCK      tid=0   room=A  sem=-1   msgs=0    Alice
13            6.348  MSG_BROADCAST      tid=0   room=A  sem=49   msgs=1    Alice
14            6.348  SEM_POST           tid=0   room=-  sem=50   msgs=1    Alice
15           38.041  SEM_BLOCK          tid=2   room=-  sem=50   msgs=0    about to wait
16           38.050  SEM_WAIT           tid=2   room=-  sem=49   msgs=0    ADMITTED
17           38.052  ACQUIRED_LOCK      tid=2   room=B  sem=-1   msgs=0    Bob
18           38.170  RELEASED_LOCK      tid=2   room=B  sem=-1   msgs=0    Bob
19           38.171  MSG_BROADCAST      tid=2   room=B  sem=49   msgs=1    Bob
20           38.171  SEM_POST           tid=2   room=-  sem=50   msgs=1    Bob
21           52.470  SEM_BLOCK          tid=3   room=-  sem=50   msgs=0    about to wait
22           52.475  SEM_WAIT           tid=3   room=-  sem=49   msgs=0    ADMITTED
23           52.477  ACQUIRED_LOCK      tid=3   room=C  sem=-1   msgs=0    Charlie
24           52.576  RELEASED_LOCK      tid=3   room=C  sem=-1   msgs=0    Charlie
25           52.577  MSG_BROADCAST      tid=3   room=C  sem=49   msgs=1    Charlie
26           52.577  SEM_POST           tid=3   room=-  sem=50   msgs=1    Charlie
27           74.737  SEM_BLOCK          tid=4   room=-  sem=50   msgs=0    about to wait
28           74.738  SEM_WAIT           tid=4   room=-  sem=49   msgs=0    ADMITTED
29           74.740  ACQUIRED_LOCK      tid=4   room=A  sem=-1   msgs=0    Diana
30           74.741  RELEASED_LOCK      tid=4   room=A  sem=-1   msgs=0    Diana
31           74.741  MSG_BROADCAST      tid=4   room=A  sem=49   msgs=1    Diana
32           74.741  SEM_POST           tid=4   room=-  sem=50   msgs=1    Diana
33          115.487  SEM_BLOCK          tid=5   room=-  sem=50   msgs=0    about to wait
34          115.489  SEM_WAIT           tid=5   room=-  sem=49   msgs=0    ADMITTED
35          115.490  ACQUIRED_LOCK      tid=5   room=B  sem=-1   msgs=0    Eve
36          115.491  RELEASED_LOCK      tid=5   room=B  sem=-1   msgs=0    Eve
37          115.491  MSG_BROADCAST      tid=5   room=B  sem=49   msgs=1    Eve
38          115.491  SEM_POST           tid=5   room=-  sem=50   msgs=1    Eve
39          136.694  SEM_BLOCK          tid=0   room=-  sem=50   msgs=0    about to wait
40          136.697  SEM_WAIT           tid=0   room=-  sem=49   msgs=0    ADMITTED
41          136.699  ACQUIRED_LOCK      tid=0   room=C  sem=-1   msgs=0    Frank
42          136.699  RELEASED_LOCK      tid=0   room=C  sem=-1   msgs=0    Frank
43          136.699  MSG_BROADCAST      tid=0   room=C  sem=49   msgs=2    Frank
44          136.700  SEM_POST           tid=0   room=-  sem=50   msgs=2    Frank
45          160.611  SEM_BLOCK          tid=1   room=-  sem=50   msgs=0    about to wait
46          160.614  SEM_WAIT           tid=1   room=-  sem=49   msgs=0    ADMITTED
47          160.616  ACQUIRED_LOCK      tid=1   room=A  sem=-1   msgs=0    Grace
48          160.617  RELEASED_LOCK      tid=1   room=A  sem=-1   msgs=0    Grace
49          160.617  MSG_BROADCAST      tid=1   room=A  sem=49   msgs=1    Grace
50          160.617  SEM_POST           tid=1   room=-  sem=50   msgs=1    Grace
51          188.560  SEM_BLOCK          tid=6   room=-  sem=50   msgs=0    about to wait
52          188.567  SEM_WAIT           tid=6   room=-  sem=49   msgs=0    ADMITTED
53          188.569  ACQUIRED_LOCK      tid=6   room=B  sem=-1   msgs=0    Hank
54          188.570  RELEASED_LOCK      tid=6   room=B  sem=-1   msgs=0    Hank
55          188.570  MSG_BROADCAST      tid=6   room=B  sem=49   msgs=1    Hank
56          188.571  SEM_POST           tid=6   room=-  sem=50   msgs=1    Hank
57          202.551  SEM_BLOCK          tid=7   room=-  sem=50   msgs=0    about to wait
58          202.555  SEM_WAIT           tid=7   room=-  sem=49   msgs=0    ADMITTED
59          202.557  PRIVATE_MSG        tid=7   room=-  sem=-1   msgs=0    T7->T6 Iris
60          202.561  PRIVATE_MSG        tid=7   room=P  sem=49   msgs=1    Iris
61          202.561  SEM_POST           tid=7   room=-  sem=50   msgs=1    Iris
62          233.036  SEM_BLOCK          tid=2   room=-  sem=50   msgs=0    about to wait
63          233.039  SEM_WAIT           tid=2   room=-  sem=49   msgs=0    ADMITTED
64          233.041  ACQUIRED_LOCK      tid=2   room=A  sem=-1   msgs=0    Jack
65          233.042  RELEASED_LOCK      tid=2   room=A  sem=-1   msgs=0    Jack
66          233.042  MSG_BROADCAST      tid=2   room=A  sem=49   msgs=2    Jack
67          233.042  SEM_POST           tid=2   room=-  sem=50   msgs=2    Jack
68          253.406  SEM_BLOCK          tid=3   room=-  sem=50   msgs=0    about to wait
69          253.408  SEM_WAIT           tid=3   room=-  sem=49   msgs=0    ADMITTED
70          253.410  ACQUIRED_LOCK      tid=3   room=B  sem=-1   msgs=0    Karen
71          253.410  RELEASED_LOCK      tid=3   room=B  sem=-1   msgs=0    Karen
72          253.410  MSG_BROADCAST      tid=3   room=B  sem=49   msgs=2    Karen
73          253.411  SEM_POST           tid=3   room=-  sem=50   msgs=2    Karen
74          291.467  SEM_BLOCK          tid=4   room=-  sem=50   msgs=0    about to wait
75          291.470  SEM_WAIT           tid=4   room=-  sem=49   msgs=0    ADMITTED
76          291.472  ACQUIRED_LOCK      tid=4   room=C  sem=-1   msgs=0    Leo
77          291.473  RELEASED_LOCK      tid=4   room=C  sem=-1   msgs=0    Leo
78          291.473  MSG_BROADCAST      tid=4   room=C  sem=49   msgs=2    Leo
79          291.473  SEM_POST           tid=4   room=-  sem=50   msgs=2    Leo
80          318.309  SEM_BLOCK          tid=5   room=-  sem=50   msgs=0    about to wait
81          318.313  SEM_WAIT           tid=5   room=-  sem=49   msgs=0    ADMITTED
82          318.314  ACQUIRED_LOCK      tid=5   room=A  sem=-1   msgs=0    Mia
83          318.315  RELEASED_LOCK      tid=5   room=A  sem=-1   msgs=0    Mia
84          318.315  MSG_BROADCAST      tid=5   room=A  sem=49   msgs=2    Mia
85          318.315  SEM_POST           tid=5   room=-  sem=50   msgs=2    Mia
86          338.874  SEM_BLOCK          tid=0   room=-  sem=50   msgs=0    about to wait
87          338.876  SEM_WAIT           tid=0   room=-  sem=49   msgs=0    ADMITTED
