clients,threads,second,msgs_per_sec,peak_msgs_per_sec,avg_msgs_per_sec
10,8,0,38,43,13.25
10,8,1,43,43,13.25
10,8,2,12,43,13.25
10,8,3,12,43,13.25
10,8,4,12,43,13.25
10,8,5,12,43,13.25
10,8,6,12,43,13.25
10,8,7,12,43,13.25
10,8,8,12,43,13.25
10,8,9,12,43,13.25
10,8,10,13,43,13.25
10,8,11,22,43,13.25
10,8,12,21,43,13.25
10,8,13,22,43,13.25
10,8,14,22,43,13.25
10,8,15,11,43,13.25
10,8,16,7,43,13.25
10,8,17,7,43,13.25
10,8,18,7,43,13.25
10,8,19,7,43,13.25
10,8,20,7,43,13.25
10,8,21,7,43,13.25
10,8,22,6,43,13.25
10,8,23,7,43,13.25
10,8,24,7,43,13.25
10,8,25,7,43,13.25
10,8,26,7,43,13.25
10,8,27,7,43,13.25
25,8,0,40,41,13.25
25,8,1,41,41,13.25
25,8,2,41,41,13.25
25,8,3,11,41,13.25
25,8,4,11,41,13.25
25,8,5,11,41,13.25
25,8,6,11,41,13.25
25,8,7,11,41,13.25
25,8,8,11,41,13.25
25,8,9,11,41,13.25
25,8,10,11,41,13.25
25,8,11,11,41,13.25
25,8,12,14,41,13.25
25,8,13,24,41,13.25
25,8,14,19,41,13.25
25,8,15,7,41,13.25
25,8,16,7,41,13.25
25,8,17,7,41,13.25
25,8,18,7,41,13.25
25,8,19,9,41,13.25
25,8,20,8,41,13.25
25,8,21,7,41,13.25
25,8,22,6,41,13.25
25,8,23,7,41,13.25
25,8,24,7,41,13.25
25,8,25,7,41,13.25
25,8,26,7,41,13.25
25,8,27,7,41,13.25
50,8,0,40,44,12.00
50,8,1,44,44,12.00
50,8,2,22,44,12.00
50,8,3,15,44,12.00
50,8,4,16,44,12.00
50,8,5,15,44,12.00
50,8,6,15,44,12.00
50,8,7,15,44,12.00
50,8,8,15,44,12.00
50,8,9,15,44,12.00
50,8,10,19,44,12.00
50,8,11,26,44,12.00
50,8,12,7,44,12.00
50,8,13,7,44,12.00
50,8,14,7,44,12.00
50,8,15,7,44,12.00
50,8,16,11,44,12.00
50,8,17,6,44,12.00
50,8,18,7,44,12.00
50,8,19,8,44,12.00
50,8,20,7,44,12.00
50,8,21,5,44,12.00
50,8,22,2,44,12.00
50,8,23,1,44,12.00
50,8,24,1,44,12.00
50,8,25,1,44,12.00
50,8,26,1,44,12.00
50,8,27,1,44,12.00
